fecha_de_venta,CEVE,item,producto,transitos,existencia,safety_stock,sugerido,pedido_final,pedido_final_camas,pedido_final_tarimas
2019-03-18,12737,30245,ALMENDRAS 82G RIC,1,0,0,0,0,0,0
2019-03-18,12737,123788,ARELOS FUEGO 25G BOLSA CB1 BAR,0,9,1,0,0,0,0
2019-03-18,12737,123787,ARELOS QUESO 25G BOLSA CB1 BAR,0,9,1,0,0,0,0
2019-03-18,12737,124235,BIG MIX CLASICO NVO 200G CB2 BAR,0,17,1,0,0,0,0
2019-03-18,12737,124236,BIG MIX FUEGO NVO 70G BOLSA CB2 BAR,196,196,82,27,27,1,1
2019-03-18,12737,124238,BIG MIX JALAPENO NVO 70G BAR,35,20,20,41,41,6,1
2019-03-18,12737,124234,BIG MIX ORIGINAL NVO 70G BOLSA CB2 BAR,98,0,37,87,87,2,2
2019-03-18,12737,9745,BIG MIX QUESO 200G BAR,0,14,2,0,0,0,0
2019-03-18,12737,123736,BIG MIX QUESO 70G BOLSA CB2 BAR,28,173,57,91,91,2,2
2019-03-18,12737,37226,BOCADIN BOLSA FP 15P 158G AUTO RIC,0,4,2,0,0,0,0
2019-03-18,12737,32097,BOLSA BUBULUBU 15P 20G RIC,0,16,7,0,0,0,0
2019-03-18,12737,31237,BOLSA CHOCORETAS 125G RIC,0,7,3,0,0,0,0
2019-03-18,12737,32354,BOLSA CUPIDO 18P 16G VER,0,9,0,0,0,0,0
2019-03-18,12737,32357,BOLSA ELOTE 18P 16G VER,0,0,0,0,0,0,0
2019-03-18,12737,32356,BOLSA MANITA SUERTE 18P 16G VER,0,7,0,0,0,0,0
2019-03-18,12737,34589,BOLSA PALETA BOMBA CHILE 18P 15G VER,0,6,1,0,0,0,0
2019-03-18,12737,34587,BOLSA PALETA MANGO C/CHILE 18P 16G VER,0,8,1,0,0,0,0
2019-03-18,12737,32387,BOLSA PIKA FRESA 60P 12G VER,0,18,2,0,0,0,0
2019-03-18,12737,32355,BOLSA TARRITO 18P 16G VER,0,7,0,0,0,0,0
2019-03-18,12737,124073,BOLSITA CACAHUATE ENCHILADO 70G C3H BAR,0,3,0,0,0,0,0
2019-03-18,12737,124074,BOLSITA CACAHUATE JAPONES 70G C3H BAR,0,3,0,0,0,0,0
2019-03-18,12737,124072,BOLSITA CACAHUATE SALADO 70G C3H BAR,0,1,0,0,0,0,0
2019-03-18,12737,123331,BOLSITA JELLY XTREME 40G LC,0,1,0,0,0,0,0
2019-03-18,12737,30206,BON O BON CAFE DISPLAY 15P 15G RIC,0,5,1,0,0,0,0
2019-03-18,12737,46749,BON O BON LECHE 15G RIC,0,17,2,0,0,0,0
2019-03-18,12737,7829,BUBULUBU 1P 35G RIC,21,41,8,0,0,0,0
2019-03-18,12737,31246,BUBULUBU TWIN PACK 70G BOLSA TR RIC,0,6,1,0,0,0,0
2019-03-18,12737,8362,CAJETA ESPREABLE ENVINADA  370G  COR,0,3,1,0,0,0,0
2019-03-18,12737,4624,CAJETA ESPREABLE ENVINADA 660G COR,0,1,4,2,2,0,0
2019-03-18,12737,8365,CAJETA ESPREABLE QUEMADA 370G COR,8,1,0,0,0,0,0
2019-03-18,12737,4919,CAJETA ESPREABLE QUEMADA 660G COR,0,3,3,0,0,0,0
2019-03-18,12737,8827,CAJETA QUEMADA DOY PACK 250G YOP,24,1,2,0,0,0,0
2019-03-18,12737,3422,CANASTA CHOC RELLENO ROMPOPE 325G LC,0,14,0,0,0,0,0
2019-03-18,12737,35549,CHICHARRON CERDO 90G CB2 BAR,10,1,3,0,0,0,0
2019-03-18,12737,123513,CHICHARRON DE CERDO 75G BOLSA CB2 BAR,28,0,6,0,0,0,0
2019-03-18,12737,37256,CHICKS VITROLERO DT 110P 539G CHK,0,1,1,4,4,0,0
2019-03-18,12737,37732,CHICLOSO 130P 806G CJ COR,10,26,7,0,0,0,0
2019-03-18,12737,6490,CHIPOTLES 52G BAR,91,105,51,74,74,11,1
2019-03-18,12737,31811,CHIPOTLES 80G BAR,0,6,1,0,0,0,0
2019-03-18,12737,122898,CHIPS CHIPOTLE LIMON CA 170G BAR,7,1,10,4,4,1,0
2019-03-18,12737,31560,CHIPS DIABLA 60G BAR,0,8,1,0,0,0,0
2019-03-18,12737,9841,CHIPS FIESTA SAL 350G BAR,0,7,2,0,0,0,0
2019-03-18,12737,31090,CHIPS FUEGO 170G BAR,0,193,22,0,0,0,0
2019-03-18,12737,31088,CHIPS FUEGO 55G BAR,0,29,4,0,0,0,0
2019-03-18,12737,800,CHIPS JALAPENO 170G BAR,0,288,42,0,0,0,0
2019-03-18,12737,34285,CHIPS JALAPENO 245G BAR,15,1,0,0,0,0,0
2019-03-18,12737,31561,CHIPS JALAPENO 60G BAR,10,18,6,7,7,1,0
2019-03-18,12737,9840,CHIPS JALAPEÑO 350G BAR,0,2,6,8,8,1,0
2019-03-18,12737,123418,CHIPS QUESO PLAN COMERCIAL 100G CU BAR,5,2,2,0,0,0,0
2019-03-18,12737,123417,CHIPS QUESO PLAN COMERCIAL 170G CB2 BAR,5,8,4,0,0,0,0
2019-03-18,12737,6012,CHIPS SAL 100G BAR,0,23,0,0,0,0,0
2019-03-18,12737,2530,CHIPS SAL 170G BAR,0,168,17,0,0,0,0
2019-03-18,12737,31562,CHIPS SAL 60G BAR,0,12,2,0,0,0,0
2019-03-18,12737,123641,CHOC KRACAO CACAO PLAN COMERCIAL 38G CU RIC,0,11,0,0,0,0,0
2019-03-18,12737,123643,CHOC KRACAO PEPITA PLAN COMERCIAL 38G CU RIC,0,13,0,0,0,0,0
2019-03-18,12737,123644,CHOC KRACAO PINA PLAN COMERCIAL 38G CU RIC,0,9,0,0,0,0,0
2019-03-18,12737,123575,CHOCORETAS 55G BOLSA CTR RIC,28,9,10,12,12,3,0
2019-03-18,12737,8769,CHOCORETAS VERTICAL 65G RIC,3,10,1,0,0,0,0
2019-03-18,12737,31211,CHURRITOS CHILE Y LIMON 60G BAR,14,17,3,0,0,0,0
2019-03-18,12737,37987,CHURRITOS FUEGO 50G BAR,21,21,4,0,0,0,0
2019-03-18,12737,41620,CHUTAZO 1110G RIC,3,2,1,0,0,0,0
2019-03-18,12737,44114,CLEVER ADULTO ORIGINAL 20KG INT,0,5,2,0,0,0,0
2019-03-18,12737,44117,CLEVER CACHORRO ORIGINAL 15KG INT,0,38,3,0,0,0,0
2019-03-18,12737,7557,DULCIGOMAS 112G RIC,0,10,1,0,0,0,0
2019-03-18,12737,31910,DULCIGOMAS 12P 45G CJ RIC,0,6,0,0,0,0,0
2019-03-18,12737,123576,DULCIGOMAS 63G BOLSA CTR RIC,21,9,9,12,12,3,0
2019-03-18,12737,8775,DULCIGOMAS VERTICAL 70G RIC,0,14,0,0,0,0,0
2019-03-18,12737,9274,FUEGO POP DET 23G BAR,21,3,6,3,3,0,0
2019-03-18,12737,38582,GOLDEN NUTS ENCHILADO 100G C3H BAR,30,14,11,0,0,0,0
2019-03-18,12737,123594,GOLDEN NUTS ENCHILADO 40G BOLSA C3H BAR,0,11,4,7,7,1,0
2019-03-18,12737,123310,GOLDEN NUTS ENCHILADO PLAN COMERCIAL 150G BAR,0,71,0,0,0,0,0
2019-03-18,12737,38585,GOLDEN NUTS SALADO 100G C3H BAR,30,16,12,0,0,0,0
2019-03-18,12737,123595,GOLDEN NUTS SALADO 40G BOLSA C3H BAR,12,0,4,7,7,1,0
2019-03-18,12737,123308,GOLDEN NUTS SALADO PLAN COMERCIAL 150G BAR,0,70,0,0,0,0,0
2019-03-18,12737,6820,GOLDEN NUTS SEMILLA 20G BAR,0,2,1,0,0,0,0
2019-03-18,12737,9017,GOLDEN NUTS SEMILLA 28G BAR,0,0,0,1,1,0,0
2019-03-18,12737,7796,GOLDEN NUTS SEMILLAS 60G BAR,3,5,1,0,0,0,0
2019-03-18,12737,38611,GOLDEN NUTS SURTIDO SELECTO 40G C3H BAR,3,0,2,0,0,0,0
2019-03-18,12737,123577,GOMILOCAS DIENTES 60G BOLSA CTR RIC,3,0,1,1,1,0,0
2019-03-18,12737,123578,GOMILOCAS HAMBURGUESAS 60G BOLSA CTR RIC,3,3,1,0,0,0,0
2019-03-18,12737,123579,GOMILOCAS PINGUINOS 60G BOLSA CTR RIC,0,2,1,4,4,1,0
2019-03-18,12737,49703,GOMITA MANITA HORIZONTAL 70G VER,1,1,0,0,0,0,0
2019-03-18,12737,49728,GOMITA TARRITO HORIZONTAL 70G VER,0,0,0,0,0,0,0
2019-03-18,12737,124016,GUMMY YUMMY AROS 1P 90G BOLSA CU RIC,0,30,1,0,0,0,0
2019-03-18,12737,124012,GUMMY YUMMY CROWNS 1P 90G BOLSA CU RIC,0,19,1,0,0,0,0
2019-03-18,12737,123988,GUMMY YUMMY CUBOS 1P 90G BOLSA CU RIC,0,16,1,0,0,0,0
2019-03-18,12737,123992,GUMMY YUMMY FLAN 1P 90G BOLSA CU RIC,0,14,1,0,0,0,0
2019-03-18,12737,123984,GUMMY YUMMY FRUTAL 1P 90G BOLSA CU RIC,0,44,1,0,0,0,0
2019-03-18,12737,124020,GUMMY YUMMY GLOWS 1P 90G BOLSA CU RIC,0,21,1,0,0,0,0
2019-03-18,12737,124008,GUMMY YUMMY MANGOS 1P 90G BOLSA CU RIC,0,24,1,0,0,0,0
2019-03-18,12737,124028,GUMMY YUMMY TAGS 1P 90G BOLSA CU RIC,0,30,1,0,0,0,0
2019-03-18,12737,124024,GUMMY YUMMY VIPERS 1P 90G BOLSA CU RIC,0,27,1,0,0,0,0
2019-03-18,12737,123996,GUMMY YUMMY VIPERS AP 90G CU RIC,0,21,1,0,0,0,0
2019-03-18,12737,38587,HOT NUTS FUEGO 50G C3H BAR,28,0,4,7,7,1,0
2019-03-18,12737,124096,HOT NUTS FUEGO 80G BOLSA CH BAR,15,0,7,20,20,2,0
2019-03-18,12737,38612,HOT NUTS MULTINTENSO 100G C3H BAR,30,10,11,24,24,2,0
2019-03-18,12737,38590,HOT NUTS MULTINTENSO 50G C3H BAR,0,10,11,52,52,5,0
2019-03-18,12737,38242,HOT NUTS MULTINTENSO 80G TUBO BAR,30,0,8,16,16,2,0
2019-03-18,12737,123316,HOT NUTS PLAN COMERCIAL 200G BAR,20,5,5,0,0,0,0
2019-03-18,12737,41653,HUEVITO PINTO 1500G VITROLERO LC,0,4,1,0,0,0,0
2019-03-18,12737,41655,JELLY X-TREME 1300G LC,0,1,0,0,0,0,0
2019-03-18,12737,9784,KARAMELADAS 120G BAR,10,15,9,21,21,3,0
2019-03-18,12737,6444,KARAMELADAS 260G BAR,0,46,5,0,0,0,0
2019-03-18,12737,45973,KARAMELADAS POP 119G BAR,0,49,5,0,0,0,0
2019-03-18,12737,46842,KARAMELADAS POP 50G BAR,0,137,23,0,0,0,0
2019-03-18,12737,123580,KRANKY 55G BOLSA CTR RIC,32,18,11,0,0,0,0
2019-03-18,12737,30246,KRANKY 80G RIC,3,4,2,0,0,0,0
2019-03-18,12737,42001,KRANKY VERTICAL 40G CR RIC,0,6,0,0,0,0,0
2019-03-18,12737,8773,KRANKY VERTICAL 70G RIC,3,13,1,0,0,0,0
2019-03-18,12737,124064,LUNETAS 1P 55G BOLSA CTR RIC,0,7,1,0,0,,0
2019-03-18,12737,33259,MACARRONES 24P 480G CJ COR,3,0,1,0,0,0,0
2019-03-18,12737,30248,MINI PALETA PAYASO 4P RIC,0,7,5,2,2,0,0
2019-03-18,12737,41624,MONEDA RICOLINO 800G RIC,3,5,1,0,0,0,0
2019-03-18,12737,123581,MORITAS 60G BOLSA CTR RIC,3,0,1,4,4,1,0
2019-03-18,12737,36685,OBLEA CAJETA 40P 560G CJ COR,10,29,5,0,0,0,0
2019-03-18,12737,8790,PALETA CAJETA TIRA 20P 110G COR,0,10,2,0,0,0,0
2019-03-18,12737,7840,PALETA PAYASO 1P 45G RIC,0,221,27,0,0,0,0
2019-03-18,12737,123678,PALETA SANDIBROCHA 18P 252G CU VER,0,8,0,0,0,0,0
2019-03-18,12737,36047,PALETA TAKIS 1P 24G TIRA VER,3,2,1,0,0,0,0
2019-03-18,12737,33258,PALETON 50P 700G CJ COR,0,31,2,0,0,0,0
2019-03-18,12737,8804,PALETON TIRA 10P 140G COR,3,0,2,2,2,0,0
2019-03-18,12737,45250,PANDITAS 115G RIC,4,6,3,0,0,0,0
2019-03-18,12737,31911,PANDITAS 12P 45G CJ RIC,5,0,0,0,0,0,0
2019-03-18,12737,123582,PANDITAS 62.5G BOLSA CTR RIC,32,3,13,31,31,8,0
2019-03-18,12737,123583,PANDITAS ACIDITOS 62.5G BOLSA CTR RIC,0,0,2,9,9,2,0
