cod_agencia_id,product_id,product_description,date,ajuste,safety_stock,inventario,unit_01,envio_01,unit_02,envio_02,Pedido,Cupo,Tinas
14462,536,MOLDE BLANCO TRADICIONAL 500G SUP_536,2019-03-26,3091,2171,1526,4331,4730,2222,1020,4539,10,454
14463,536,MOLDE BLANCO TRADICIONAL 500G SUP_536,2019-03-26,164,181,240,2000,2960,2300,2310,0,10,0
14462,2546,MOLDE CHOCOCACAO 500G BAU_2546,2019-03-26,10,14,125,44,0,16,0,0,12,0
14463,2546,MOLDE CHOCOCACAO 500G BAU_2546,2019-03-26,4,6,66,18,0,0,0,0,12,0
14462,3780,BIRI BIRI PACK 3P 120G MLA_3780,2019-03-26,0,0,0,0,0,0,0,0,36,0
14463,3780,BIRI BIRI PACK 3P 120G MLA_3780,2019-03-26,0,0,0,0,0,0,0,0,36,0
14462,29469,MOLDE BRIOCHE 580G GRI,2019-03-26,83,50,6,203,210,47,70,97,10,10
14463,29469,MOLDE BRIOCHE 580G GRI,2019-03-26,0,13,120,0,0,0,0,0,10,0
14462,29470,MOLDE SIN CORTEZA 450G GRI,2019-03-26,94,73,5,201,180,101,180,104,10,10
14463,29470,MOLDE SIN CORTEZA 450G GRI,2019-03-26,17,16,31,60,60,50,40,12,10,1
14462,29471,MOLDE GIGANTE 800G REY,2019-03-26,1,0,8,9,8,2,0,0,8,0
14463,29471,MOLDE GIGANTE 800G REY,2019-03-26,0,0,0,0,0,0,0,0,8,0
14462,29473,MOLDE BLANCO 500G SUP,2019-03-26,1257,831,643,2057,2170,1233,910,1655,10,166
14463,29473,MOLDE BLANCO 500G SUP,2019-03-26,479,471,574,700,0,1000,350,1726,10,173
14462,29479,MOLDE INTEGRAL 700G SUP,2019-03-26,205,142,137,343,330,183,160,246,10,25
14463,29479,MOLDE INTEGRAL 700G SUP,2019-03-26,34,29,55,60,80,70,20,38,10,4
14462,29481,MOLDE 9 CEREALES 500G BAU,2019-03-26,179,162,186,400,228,203,252,278,12,23
14463,29481,MOLDE 9 CEREALES 500G BAU,2019-03-26,100,31,31,100,144,60,0,116,12,10
14462,29482,MOLDE MIEL Y GRANOLA 500G BAU,2019-03-26,5,7,0,3,24,4,0,0,12,0
14463,29482,MOLDE MIEL Y GRANOLA 500G BAU,2019-03-26,6,5,0,50,48,30,12,31,12,3
14462,29483,MOLDE YOGURT Y ALMENDRAS 500G BAU,2019-03-26,112,86,0,175,180,108,252,49,12,4
14463,29483,MOLDE YOGURT Y ALMENDRAS 500G BAU,2019-03-26,18,20,0,51,96,37,0,30,12,3
14462,29484,MOLDE 9 CEREALES 680G BAU,2019-03-26,7,6,20,18,0,4,20,0,10,0
14463,29484,MOLDE 9 CEREALES 680G BAU,2019-03-26,6,5,20,20,10,20,20,1,10,0
14462,29485,MOLDE MIEL Y GRANOLA 680G BAU,2019-03-26,0,0,0,0,0,0,0,0,10,0
14463,29485,MOLDE MIEL Y GRANOLA 680G BAU,2019-03-26,0,0,0,0,0,0,0,0,10,0
14462,29486,MOLDE YOGURT Y ALMENDRAS 680G BAU,2019-03-26,4,0,55,22,10,3,10,0,10,0
14463,29486,MOLDE YOGURT Y ALMENDRAS 680G BAU,2019-03-26,6,5,40,12,0,10,20,0,10,0
14462,29487,MOLDE AVENA Y NUECES 650G BAU,2019-03-26,7,6,71,11,0,4,10,0,10,0
14463,29487,MOLDE AVENA Y NUECES 650G BAU,2019-03-26,0,3,24,20,20,20,10,0,10,0
14462,29489,HAMBURGUESA JUMBO12P 1140G SUP_29489,2019-03-26,367,283,484,692,725,285,0,418,5,84
14463,29489,HAMBURGUESA JUMBO12P 1140G SUP_29489,2019-03-26,150,37,398,200,80,0,0,0,5,0
14462,29490,SUPER HOT DOG 8P 600G SUP,2019-03-26,333,277,292,611,714,350,252,313,6,52
14463,29490,SUPER HOT DOG 8P 600G SUP,2019-03-26,58,72,48,100,66,100,162,54,6,9
14462,29491,SUPER HAMBURGUESA 8P 520G SUP,2019-03-26,262,228,596,413,348,301,312,0,6,0
14463,29491,SUPER HAMBURGUESA 8P 520G SUP,2019-03-26,39,34,188,150,174,100,126,0,6,0
14462,29494,HAMBURGUESA 8P 400G SUP,2019-03-26,13,7,36,37,45,4,0,0,9,0
14463,29494,HAMBURGUESA 8P 400G SUP,2019-03-26,2,0,18,20,18,2,9,0,9,0
14462,29495,HOT DOG 8P 320G SUP,2019-03-26,45,35,187,150,121,37,22,0,11,0
14463,29495,HOT DOG 8P 320G SUP,2019-03-26,100,27,158,100,154,100,44,0,11,0
14462,29497,SUPER HOT DOG 8P 600G REY,2019-03-26,186,187,324,445,540,180,42,92,6,15
14463,29497,SUPER HOT DOG 8P 600G REY,2019-03-26,12,12,23,50,30,50,0,71,6,12
14462,29499,SUPER HAMBURGUESA 12P 800G REY,2019-03-26,117,103,37,256,305,111,50,195,5,39
14463,29499,SUPER HAMBURGUESA 12P 800G REY,2019-03-26,12,17,320,150,95,0,0,0,5,0
14462,29502,BRIOLLO 8P 240G PNL,2019-03-26,152,113,178,423,465,127,0,172,15,11
14463,29502,BRIOLLO 8P 240G PNL,2019-03-26,250,47,167,225,210,225,165,205,15,14
14462,29516,SUPER HAMBURGUESA CLUB 8P 648G SUP,2019-03-26,0,0,3,0,0,1,0,0,3,0
14463,29519,DULZONES CHOCOLATE 12P 360G SUP,2019-03-26,0,0,0,0,0,0,0,0,12,0
14462,29521,DULZONES CHOCOLATE 2P 60G SUP,2019-03-26,0,0,0,0,0,0,0,0,44,0
14462,29525,SUBMAR RELLENO/CREMA VAINILLA 1P 27G MLA_29525,2019-03-26,0,0,0,0,0,0,0,0,75,0
14463,29525,SUBMAR RELLENO/CREMA VAINILLA 1P 27G MLA_29525,2019-03-26,0,0,0,0,0,0,0,0,75,0
14462,29526,ROSQUITAS LLANERAS 200G SUP,2019-03-26,161,113,115,327,336,97,84,163,12,14
14463,29526,ROSQUITAS LLANERAS 200G SUP,2019-03-26,45,25,1,200,72,60,108,149,12,12
14462,29527,ROSQUITAS TRENZADAS 200G SUP,2019-03-26,141,99,101,248,252,103,108,130,12,11
14463,29527,ROSQUITAS TRENZADAS 200G SUP,2019-03-26,34,20,43,200,216,60,0,55,12,5
14462,29528,ROSQUITAS TRENZADAS 80G SUP,2019-03-26,0,0,0,0,0,0,0,0,,0
14462,29530,MINI ROSQUITAS NATURALES 50G SUP,2019-03-26,295,261,893,694,660,335,60,0,60,0
14463,29530,MINI ROSQUITAS NATURALES 50G SUP,2019-03-26,39,39,379,360,720,62,0,0,60,0
14462,29532,SALMAS EC 140G EXP SAN_29532,2019-03-26,15,9,38,30,0,15,28,3,28,0
14463,29532,SALMAS EC 140G EXP SAN_29532,2019-03-26,0,0,41,0,0,0,0,0,28,0
14462,29533,MINI ROSQUITAS INTEGRALES 50G SUP,2019-03-26,272,227,238,587,540,313,360,261,60,4
14463,29533,MINI ROSQUITAS INTEGRALES 50G SUP,2019-03-26,30,33,391,360,600,100,0,0,60,0
14462,29534,BIMBOLETES VAINILLA 2P 70G BIM_29534,2019-03-26,483,329,20,708,720,403,840,343,40,9
14463,29534,BIMBOLETES VAINILLA 2P 70G BIM_29534,2019-03-26,130,79,392,400,400,600,600,0,40,0
14462,29536,BIMBOLETES GOTAS CHOCOLATE 2P 70G BIM_29536,2019-03-26,608,404,5,894,1040,514,1080,295,40,7
14463,29536,BIMBOLETES GOTAS CHOCOLATE 2P 70G BIM_29536,2019-03-26,202,106,321,400,400,600,640,0,40,0
14462,29537,PAN DULCE 16P 500G DPY BIM_29537,2019-03-26,0,0,0,0,0,0,0,0,8,0
14463,29537,PAN DULCE 16P 500G DPY BIM_29537,2019-03-26,0,0,0,0,0,0,0,0,8,0
14462,29538,SUBMARINOS SUMERGIDO 2P 54G MLA_29538,2019-03-26,0,0,0,0,0,0,0,0,35,0
14463,29538,SUBMARINOS SUMERGIDO 2P 54G MLA_29538,2019-03-26,0,0,0,0,0,0,0,0,35,0
14462,29539,SUBMARINO RELLENO/CREMA CHOC 1P 27G MLA_29539,2019-03-26,0,0,0,0,0,0,0,0,75,0
14463,29539,SUBMARINO RELLENO/CREMA CHOC 1P 27G MLA_29539,2019-03-26,0,0,0,0,0,0,0,0,75,0
14462,29540,SUBMAR RELL/CREMA MANJARLECHE 1P 27G MLA_29540,2019-03-26,0,0,0,0,0,0,0,0,75,0
14463,29540,SUBMAR RELL/CREMA MANJARLECHE 1P 27G MLA_29540,2019-03-26,0,0,0,0,0,0,0,0,75,0
14462,29541,MINI TOSTADAS NATURALES 120G GRI,2019-03-26,41,40,291,118,144,64,0,0,24,0
14463,29541,MINI TOSTADAS NATURALES 120G GRI,2019-03-26,17,14,168,60,0,100,48,0,24,0
