sale_center_id,sale_center_name
12755,CUAUHTEMOC
12761,CHIHUAHUA
12658,TERRERO
12673,SAN JUANITO
12743,CASAS GRANDES
12763,DELICIAS
12804,PARRAL
12638,DURANGO
12699,NUEVO IDEAL
12839,GOMEZ PALACIO
12748,CIUDAD JUAREZ
12603,AGUASCALIENTES
12615,LAGOS DE MORENO
12744,CIUDAD GUZMAN
12753,COLIMA
12784,MANZANILLO
12852,TECOMAN
12767,GUADALAJARA
12645,AEROPUERTO
12657,MARIANO OTERO
12738,AUTLAN
12616,GUADALAJARA SUR
12766,FRESNILLO
12849,ZACATECAS PONIENTE
12726,ZACATECAS NORTE
12609,ZAPOPAN
12762,ATOTONILCO
12801,OCOTLAN
12832,TEPATITLAN
12614,GUAMUCHIL
12759,CULIACAN
12769,GUASAVE
12651,LA PAZ
12709,SAN JOSE LOS CABOS
12617,SANTA ROSALIA
12696,CONSTITUCION
12836,GUERRERO NEGRO
12659,SANTIAGO
12788,MAZATLAN 1
12698,MAZATLAN 2
12733,LA PENITA
12833,TEPIC
12845,PUERTO VALLARTA
12611,ESCARCEGA
12740,CAMPECHE
12749,CIUDAD DEL CARMEN
12851,EMILIANO ZAPATA
12624,CANCUN SUR
12754,COZUMEL
12760,CHETUMAL
12807,PLAYA DEL CARMEN
12661,MERIDA
12844,VALLADOLID
12634,TEKAX
12846,MERIDA SUR
12815,VILLAHERMOSA
12621,CENTENO
12623,COACALCO
12756,CUAUTITLAN
12827,MIXCOAC
12826,SANTA CLARA
12798,TLALNEPANTLA
12775,IXTAPALUCA
12828,LOS REYES
12777,TLAHUAC
12719,VALLEJO
12768,GUADALUPE
12697,SAN NICOLAS
12680,SANTA CATARINA
12779,LAREDO
12786,MATAMOROS
12813,REYNOSA
12847,CIUDAD VICTORIA
12796,MONCLOVA
12805,PIEDRAS NEGRAS
12817,SABINAS
12818,SALTILLO
12707,HUEJUTLA
12746,CIUDAD VALLES
12783,CIUDAD MANTE
12829,TAMPICO
12605,APIZACO
12608,ZACATLAN
12703,APAN
12858,TEXMELUCAN
12823,OAXACA SUR
12772,HUAJUAPAN
12800,OAXACA NORTE
12859,TLAXIACO
12607,PACHUCA 1
12840,TULANCINGO
12803,PACHUCA 2
12809,PUEBLA 1
12676,SERDAN
12649,IZUCAR
12735,PUEBLA 2
12750,CELAYA
12620,SALAMANCA
12774,IRAPUATO
12778,LA PIEDAD
12850,ZAMORA
12654,SILAO
12781,LEON
12734,APATZINGAN
12797,MORELIA
12843,URUAPAN
12863,URIANGATO
12812,QUERETARO
12713,TEPEJI DEL RIO
12794,MIXQUIAHUALA
12821,SAN JUAN DEL RIO
12757,SAN LUIS PONIENTE
12787,MATEHUALA
12814,RIO VERDE
12822,SAN LUIS POTOSI
12770,GUAYMAS
12771,HERMOSILLO
12633,MOCTEZUMA
12656,NAVOJOA
12745,CIUDAD OBREGON
12782,LOS MOCHIS
12660,PUERTO PENASCO
12739,CABORCA
12791,MEXICALI
12816,SAN LUIS RIO COLORADO
12732,AGUA PRIETA
12793,SANTA ANA
12799,NOGALES
12708,TIJUANA TERRAZAS
12765,ENSENADA
12610,TIJUANA PLAYAS
12824,SAN QUINTIN
12731,ACAPULCO DIAMANTE
12780,LAZARO CARDENAS
12853,ZIHUATANEJO
12681,ACAPULCO SAN ISIDRO
12604,MARAVATIO
12737,ATLACOMULCO
12862,ZINAPECUARO
12636,CHILPANCINGO
12773,IGUALA
12640,TLAPA
12712,CHILAPA
12728,ALTAMIRANO
12631,CUAUTLA
12758,CUERNAVACA
12720,JOJUTLA
12806,PINOTEPA
12811,PUERTO ESCONDIDO
12837,TOLUCA 1
12704,TENANCINGO
12854,ZITACUARO
12717,TEJUPILCO
12838,TOLUCA 2
12724,COMALCALCO
12742,CARDENAS
12613,MINATITLAN
12752,COATZACOALCOS 1
12792,COATZACOALCOS 2
12721,ACAYUCAN
12776,IXTEPEC
12694,ARRIAGA
12626,COMITAN
12830,TAPACHULA
12820,SAN CRISTOBAL
12842,TUXTLA GUTIERREZ
12627,CORDOBA
12831,TEHUACAN
12802,ORIZABA
12714,TUXPAN
12808,POZA RICA
12785,MARTINEZ DE LA TORRE
12841,TUXTEPEC
12646,ISLA VERACRUZ
12671,COSAMALOAPAN 
12819,SAN ANDRES TUXTLA
12722,VERACRUZ
12666,TIERRA BLANCA
12834,TEZIUTLAN
12848,XALAPA
12670,XALAPA_2
12856,MIXCOAC_2
12861,San Francisco del Rincon
12865,Leon Milenium
12864,BOCA DEL RIO
12641,GUERRERO
12879,CHAMPOTON
12880,VALLE DE BRAVO
15751,EXPENDIO CUAUTITLAN
12632,CUERNAVACA
12689,PUEBLA
12663,IZTAPALAPA
12688,NAUCALPAN
12736,SANTA CLARA
12602,GATO BRONCO
12650,CIUDAD JUAREZ
12693,CHIHUAHUA
12700,GOMEZ PALACIO
12664,LA FE
12825,SALTILLO
12860,SANTA CATARINA 
12618,TAMPICO
12637,CIUDAD VICTORIA
12669,SENDERO
12705,MATAMOROS
12601,AGUASCALIENTES
12679,LEON
12687,IRAPUATO
12622,TLAQUEPAQUE
12625,PINAR DE LA VENTA
12612,VERACRUZ
12877,VILLAHERMOSA
12692,TOLUCA AEROPUERTO
12711,CUAUTLA AS
12706,TEPIC AS
