product_id,product_name,price,quota,pallet,bed
800,Chips Jalapeno 170g BAR,26.45,11,49,7
1078,Cajeta 50pct Menos Azucar 370g COR,28.17,12,0,0
1940,Spirrones 100g BAR,10.92,60,0,0
2530,Chips Sal 170g BAR,26.45,11,49,7
4624,Cajeta Espreable Envinada 660g COR,40.95,12,0,0
4625,Cajeta Vainilla 660g COR,43.05,12,0,0
4919,Cajeta Espreable Quemada 660g COR,43.05,12,0,0
124823,Chips Jalapeño 120g,15.56,0,0,0
6012,Chips Sal 100g BAR,15.56,20,56,7
6444,Karameladas 260g CB2 BAR,16.33,16,49,7
7557,Dulcigomas 112g RIC,9.47,45,80,4
7829,Bubulubu 35g RIC,4.33,150,96,4
7840,Paleta Payaso 45g RIC,5.78,70,80,40
7947,Lunetas Sobre 227g Auto RIC,11.8,16,0,0
8362,Cajeta Envinada 370g COR,25.64,25,0,0
8364,Cajeta Vainilla 370g COR,25.64,25,0,0
8365,Cajeta Quemada 370g COR,28.46,25,50,10
8769,Chocoretas Vertical 65g RIC,8.68,60,80,4
8773,Kranky Vertical 70g RIC,8.68,60,80,4
8775,Dulcigomas Vertical 70g RIC,8.68,60,80,4
8779,Panditas Rojos Vertical 70g RIC,8.68,60,80,4
8785,Panditas Acidos Vertical 70g RIC,8.68,60,80,4
8786,Panditas Vertical 70g RIC,8.68,60,80,4
8790,Tira Paleta 20p 5.5g COR,13.89,50,45,9
8804,Tira Paleton 10p 14g COR,9.41,50,0,0
8809,Paleta Agrimiel 20p 5g COR,5.17,50,0,0
8827,Pack Cajeta Yopi Doy 250g YOP,12.2,24,50,7
8830,Cubeta Cajeta Quemada 24Kg COR,758.2,1,0,0
9488,Toreadas Habanero 170g BAR,26.46,11,49,7
9745,Big Mix Queso 200g BAR,16.79,10,56,7
9840,Chips Jalapeno 350g BAR,31.93,8,0,0
9841,Chips Sal 350g BAR,34.48,8,0,0
30244,Pasitas 90g RIC,10.84,30,0,0
30245,Almendras 82g RIC,10.84,30,0,0
30246,Kranky 80g RIC,8.67,30,0,0
30248,Mini Paleta Payaso 4p 25g RIC,11.56,13,80,4
30269,Duvalin Avellana Vainilla 6p 15g RIC,8.67,52,0,0
30301,Spirrones 100g BAR,16.8,25,49,7
31088,Chips Fuego 55g BAR,7.36,35,49,7
31090,Chips Fuego 170g BAR,26.45,11,49,7
31237,Bolsa Chocoretas 125g RIC,10.84,23,0,0
31246,Bolsa Bubulubu Twin Pack 70g RIC,6.14,108,80,4
31560,Chips Diabla 60g BAR,6.23,35,0,0
31561,Chips Jalapeno 60g BAR,6.69,35,49,7
31562,Chips Sal 60g BAR,6.69,35,49,7
31808,Takis Fuego 90g BAR,9.33,42,49,7
31809,Takis Original 90g BAR,7.78,42,49,7
31910,Cajilla Dulcigomas 12p 45g RIC,5.14,108,80,4
31911,Cajilla Panditas 12p 45g RIC,5.58,108,57,4
32097,Bolsa Bubulubu 15p 20g RIC,19.13,12,80,4
33500,Paleta Elote Chile 10p 16g VER,10.92,30,0,0
33510,Paleta Mango Chile 10p 16g VER,10.92,50,0,0
33563,Pica Goma Fresa 30p 180g VER,10.92,30,0,0
