fecha_de_venta,ceve_id,ITEM,producto,transitos,existencia,safety_stock,sugerido,pedido_final,pedido_final_camas,pedido_final_tarimas
2019-03-22,12768,122902,ALMENDRAS 36G RIC,0,0,0,0,0,0,0
2019-03-22,12768,36349,ALMENDRAS 40G RIC,0,0,0,0,0,0,0
2019-03-22,12768,123324,ARELOS FUEGO 25G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123788,ARELOS FUEGO 25G BOLSA CB1 BAR,0,37,1,0,0,0,0
2019-03-22,12768,123322,ARELOS JALAPENO 25G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123786,ARELOS JALAPENO 25G BOLSA CB1 BAR,0,0,0,0,0,0,0
2019-03-22,12768,123323,ARELOS QUESO 25G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123787,ARELOS QUESO 25G BOLSA CB1 BAR,0,55,1,0,0,0,0
2019-03-22,12768,9283,BARRA CHOC ARROZ INFLADO 38G LC,0,0,0,0,0,0,0
2019-03-22,12768,9326,BARRA CHOCOLATE 10P 380G CJ LC,0,0,0,0,0,0,0
2019-03-22,12768,34322,BARRA POLLITOS 16P 30G CJ LC,0,0,0,0,0,0,0
2019-03-22,12768,9330,BARRA SUIZA 21P 388.5G CJ LC,0,0,0,0,0,0,0
2019-03-22,12768,38347,BIG MIX 4E 200G BAR,0,0,0,0,0,0,0
2019-03-22,12768,9789,BIG MIX 80G BAR,0,0,0,0,0,0,0
2019-03-22,12768,124235,BIG MIX CLASICO NVO 200G CB2 BAR,0,49,0,0,0,0,0
2019-03-22,12768,37954,BIG MIX FUEGO 200G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123733,BIG MIX FUEGO 70G BOLSA CB2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,9788,BIG MIX FUEGO 80G BAR,0,0,0,0,0,0,0
2019-03-22,12768,124237,BIG MIX FUEGO NVO 200G CB2 BAR,241,98,0,0,0,0,0
2019-03-22,12768,124236,BIG MIX FUEGO NVO 70G BOLSA CB2 BAR,154,196,44,0,0,0,0
2019-03-22,12768,123019,BIG MIX JALAPENO 80G BAR,0,0,0,0,0,0,0
2019-03-22,12768,124238,BIG MIX JALAPENO NVO 70G BAR,0,0,21,61,61,9,1
2019-03-22,12768,123735,BIG MIX ORIGINAL 70G BOLSA CB2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,124234,BIG MIX ORIGINAL NVO 70G BOLSA CB2 BAR,98,147,23,0,0,0,0
2019-03-22,12768,9745,BIG MIX QUESO 200G BAR,112,20,16,0,0,0,0
2019-03-22,12768,123736,BIG MIX QUESO 70G BOLSA CB2 BAR,49,196,43,0,0,0,0
2019-03-22,12768,9743,BIG MIX QUESO 80G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123285,BIG MIX QUESO CA 300G CB3 BAR,0,0,0,0,0,0,0
2019-03-22,12768,34783,BLISTER STARGUM MENTA INTENSA 8G SKD,0,0,0,0,0,0,0
2019-03-22,12768,30940,BOLSA CAJETA QUEMADA 150G CU COR,0,0,0,0,0,0,0
2019-03-22,12768,34029,BOLSA CHICLOSO 33P 204.6G COR,0,0,0,0,0,0,0
2019-03-22,12768,123475,BOLSA KARAMELADAS 50G CB1 BAR,0,0,0,0,0,0,0
2019-03-22,12768,124092,BOLSITA AROS DE DURAZNO 60G CTR RIC,6,0,0,0,0,0,0
2019-03-22,12768,124073,BOLSITA CACAHUATE ENCHILADO 70G C3H BAR,0,0,1,3,3,0,0
2019-03-22,12768,124074,BOLSITA CACAHUATE JAPONES 70G C3H BAR,0,9,0,0,0,0,0
2019-03-22,12768,124072,BOLSITA CACAHUATE SALADO 70G C3H BAR,0,0,1,2,2,0,0
2019-03-22,12768,123328,BOLSITA CANASTA 4P 26G LC,2,3,0,0,0,0,0
2019-03-22,12768,123343,BOLSITA CHICKS 5P 24.5G CHK,0,0,0,0,0,0,0
2019-03-22,12768,123333,BOLSITA CHICLOSO 4P 24.8G COR,0,0,0,0,0,0,0
2019-03-22,12768,123338,BOLSITA MIX PALETAS 3P 48G VER,0,0,0,0,0,0,0
2019-03-22,12768,123330,BOLSITA MONEDAS 4P 16G RIC,0,0,0,0,0,0,0
2019-03-22,12768,123329,BOLSITA POLLITOS CHOCOLATE 4P 26G LC,0,0,0,0,0,0,0
2019-03-22,12768,124093,BOLSITA RANAS 60G CTR RIC,46,0,0,0,0,0,0
2019-03-22,12768,123336,BOLSITA RELLERINDO 4P 44G VER,0,0,0,0,0,0,0
2019-03-22,12768,124094,BOLSITA TIBURONES 60G CTR RIC,44,0,0,0,0,0,0
2019-03-22,12768,122880,BOLSON ALMENDRAS NAVIDAD 250G RIC,0,0,0,0,0,0,0
2019-03-22,12768,122881,BOLSON PASITAS NAVIDENAS 250G RIC,0,0,0,0,0,0,0
2019-03-22,12768,123093,BON O BON COOKIES CREAM 15P 15G RIC,0,0,0,0,0,0,0
2019-03-22,12768,123780,BON O BON CORONADO 15P 225G DPY CU ARC,0,0,1,0,0,0,0
2019-03-22,12768,123781,BON O BON CORONADO 18P 270G DPY CU ARC,0,0,0,0,0,0,0
2019-03-22,12768,9617,BON O BON LECHE AMOR GEN 15P 225G CU ARC,0,0,0,0,0,0,0
2019-03-22,12768,39069,BPOPS ADOBO 40G BAR,0,0,0,0,0,0,0
2019-03-22,12768,39066,BPOPS MOCA 40G BAR,0,0,0,0,0,0,0
2019-03-22,12768,39062,BPOPS QUESO PICOSITO T1 33G TIRA BAR,0,0,0,0,0,0,0
2019-03-22,12768,123029,BUBULUBERA MIXTA BBB/KRANKY 21P 750G RIC,0,0,0,0,0,0,0
2019-03-22,12768,30247,BUBULUBU 8P 20G RIC,0,0,0,0,0,0,0
2019-03-22,12768,36837,BUBULUBU BIG 2 PACK 70G RIC,0,0,0,0,0,0,0
2019-03-22,12768,9794,BUBULUBU DARKSIDE CM 35G RIC,0,0,0,0,0,0,0
2019-03-22,12768,7567,BUBULUBU FROST 35G RIC,0,0,0,0,0,0,0
2019-03-22,12768,7568,BUBULUBU FROST CM 35G RIC,0,0,0,0,0,0,0
2019-03-22,12768,123050,BUBULUBU FROST NVO 35G RIC,0,0,0,0,0,0,0
2019-03-22,12768,124415,BUTTER TOFFEE C FRESA 50P 200G CJ CU ARC,12,0,0,0,0,0,0
2019-03-22,12768,48939,BUTTER TOFFEES BONOBON 50P 350G DPY RIC,0,0,0,0,0,0,0
2019-03-22,12768,124272,BUTTERTOFFEE S MEXICO 50P 200G CJ CU ARC,16,0,0,0,0,0,0
2019-03-22,12768,123275,CACAHUATE KIMONO 120G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123161,CACAHUATE KIMONO 20P 28G CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,123441,CACAHUATE KIMONO CA 140G C3H BAR,0,0,0,0,0,0,0
2019-03-22,12768,123504,CACAHUATE KIMONO MUESTREO 28G C3H BAR,0,0,0,0,0,0,0
2019-03-22,12768,123442,CACAHUATE KIMONO PLAN COMERCIAL 140G C3H BAR,0,0,0,0,0,0,0
