product_id,product_name
29558,Apanadura Dorada 150g SUP
29537,Pan Dulce 16p 500g Dpy BIM_29537
48948,Rayita Vainilla Chocolate 50g BIM_48948
536,Panquecito 50g tira BIM_133
29558,Apanadura Dorada 150g SUP
39724,Tortillinas Integrales 10p 250g BIM_39724
29554,Tostadas Integrales 16p 100g GRI
45272,Hot Dog Gourmet 12p 890g EUR_4531
40949,Rosquitas Integrales 200g SUP_40949
29554,Tostadas Integrales 16p 100g GRI
29497,Super Hot Dog 8p 600g REY
32497,Panditas Acidos 5p 25g EXP CA RIC_3316
29497,Super Hot Dog 8p 600g REY
536,Panquecito 50g tira BIM_133
29552,Tostadas Dieta 16p 100g GRI
33288,Submarinos Mix 540g Cj MLA_33288
500328,Mini Chocoso 20g BIM_500328
29473,Molde Blanco 500g SUP
29554,Tostadas Integrales 16p 100g GRI
29549,Mini Tostadas Integrales 40g GRI
29551,Tostadas Naturales 16p 100g GRI
29502,Briollo 8p 240g PNL
32497,Panditas Acidos 5p 25g EXP CA RIC_3316
29558,Apanadura Dorada 150g SUP
29526,Rosquitas Llaneras 200g SUP
29502,Briollo 8p 240g PNL
500328,Mini Chocoso 20g BIM_500328
33288,Submarinos Mix 540g Cj MLA_33288
536,Panquecito 50g tira BIM_133
29544,Mini Tostadas Francesas 40g GRI
29490,Super Hot Dog 8p 600g SUP
29530,Mini Rosquitas Naturales 50g SUP
42619,Submarinos Manjar 4p 33g MLA_42619
42517,Supan Integral Clasico 500g SUP_42517
29491,Super Hamburguesa 8p 520g SUP
29551,Tostadas Naturales 16p 100g GRI
32497,Panditas Acidos 5p 25g EXP CA RIC_3316
29554,Tostadas Integrales 16p 100g GRI
33288,Submarinos Mix 540g Cj MLA_33288
29557,Apanadura 250g BIM
29497,Super Hot Dog 8p 600g REY
29490,Super Hot Dog 8p 600g SUP
29530,Mini Rosquitas Naturales 50g SUP
29549,Mini Tostadas Integrales 40g GRI
42609,Submarinos Chocolate 4p 33g MLA_42609
29534,Bimboletes Vainilla 2p 70g BIM_29534
29502,Briollo 8p 240g PNL
29549,Mini Tostadas Integrales 40g GRI
29546,Tostadas Francesas 4p 30g GRI
29549,Mini Tostadas Integrales 40g GRI
42619,Submarinos Manjar 4p 33g MLA_42619
42626,Submarinos Vainilla 4p 33g MLA_42626
29554,Tostadas Integrales 16p 100g GRI
536,Panquecito 50g tira BIM_133
29553,Tostadas Francesas 16p 120g GRI
29502,Briollo 8p 240g PNL
500328,Mini Chocoso 20g BIM_500328
41684,Molde Sanduchero 800g SUP_41684
42626,Submarinos Vainilla 4p 33g MLA_42626
42525,Mega Bimburguer 4p 300g BIM_42525
42513,Molde 100pct Integral 600g BIM_42513
500329,Mini Brownie Chocolate 18g BIM_500329
42626,Submarinos Vainilla 4p 33g MLA_42626
29502,Briollo 8p 240g PNL
29552,Tostadas Dieta 16p 100g GRI
29537,Pan Dulce 16p 500g Dpy BIM_29537
29537,Pan Dulce 16p 500g Dpy BIM_29537
29530,Mini Rosquitas Naturales 50g SUP
29470,Molde sin Corteza 450g GRI
42223,Molde Blanco con Actileche 580g BIM_42223
29553,Tostadas Francesas 16p 120g GRI
29553,Tostadas Francesas 16p 120g GRI
48948,Rayita Vainilla Chocolate 50g BIM_48948
29537,Pan Dulce 16p 500g Dpy BIM_29537
29490,Super Hot Dog 8p 600g SUP
40949,Rosquitas Integrales 200g SUP_40949
32497,Panditas Acidos 5p 25g EXP CA RIC_3316
42517,Supan Integral Clasico 500g SUP_42517
29556,Apanadura 500g GRI
40949,Rosquitas Integrales 200g SUP_40949
500328,Mini Chocoso 20g BIM_500328
29527,Rosquitas Trenzadas 200g SUP
29494,Hamburguesa 8p 400g SUP
29497,Super Hot Dog 8p 600g REY
29502,Briollo 8p 240g PNL
29491,Super Hamburguesa 8p 520g SUP
42619,Submarinos Manjar 4p 33g MLA_42619
29549,Mini Tostadas Integrales 40g GRI
2546,Pan Tostadito Natural 20p 115g BIM_1982
536,Panquecito 50g tira BIM_133
29537,Pan Dulce 16p 500g Dpy BIM_29537
29559,Apanadura Granel 23Kg SUP
29557,Apanadura 250g BIM
29553,Tostadas Francesas 16p 120g GRI
29557,Apanadura 250g BIM
500328,Mini Chocoso 20g BIM_500328
42609,Submarinos Chocolate 4p 33g MLA_42609
29557,Apanadura 250g BIM
41685,Molde Actileche sn Corteza 450g BIM_41685
40949,Rosquitas Integrales 200g SUP_40949
29499,Super Hamburguesa 12p 800g REY
29536,Bimboletes Gotas Chocolate 2p 70g BIM_29536
29554,Tostadas Integrales 16p 100g GRI
29497,Super Hot Dog 8p 600g REY
29541,Mini Tostadas Naturales 120g GRI
33288,Submarinos Mix 540g Cj MLA_33288
29548,Mini Tostadas Integrales 120g GRI
29470,Molde sin Corteza 450g GRI
39723,Tortillinas Clasicas 10p 250g BIM_39723
500328,Mini Chocoso 20g BIM_500328
42619,Submarinos Manjar 4p 33g MLA_42619
29542,Mini Tostadas Naturales 40g GRI
29557,Apanadura 250g BIM
29553,Tostadas Francesas 16p 120g GRI
29551,Tostadas Naturales 16p 100g GRI
29497,Super Hot Dog 8p 600g REY
33288,Submarinos Mix 540g Cj MLA_33288
29471,Molde Gigante 800g REY
29527,Rosquitas Trenzadas 200g SUP
29557,Apanadura 250g BIM
29469,Molde Brioche 580g GRI
500329,Mini Brownie Chocolate 18g BIM_500329
29556,Apanadura 500g GRI
29494,Hamburguesa 8p 400g SUP
41688,Bimburger 4p 230g BIM_41688
33288,Submarinos Mix 540g Cj MLA_33288
29558,Apanadura Dorada 150g SUP
29554,Tostadas Integrales 16p 100g GRI
29557,Apanadura 250g BIM
32497,Panditas Acidos 5p 25g EXP CA RIC_3316
40949,Rosquitas Integrales 200g SUP_40949
29479,Molde Integral 700g SUP
29469,Molde Brioche 580g GRI
29542,Mini Tostadas Naturales 40g GRI
41684,Molde Sanduchero 800g SUP_41684
29490,Super Hot Dog 8p 600g SUP
41684,Molde Sanduchero 800g SUP_41684
29558,Apanadura Dorada 150g SUP
2546,Pan Tostadito Natural 20p 115g BIM_1982
500329,Mini Brownie Chocolate 18g BIM_500329
33288,Submarinos Mix 540g Cj MLA_33288
29542,Mini Tostadas Naturales 40g GRI
29471,Molde Gigante 800g REY
29549,Mini Tostadas Integrales 40g GRI
29526,Rosquitas Llaneras 200g SUP
29530,Mini Rosquitas Naturales 50g SUP
29536,Bimboletes Gotas Chocolate 2p 70g BIM_29536
29494,Hamburguesa 8p 400g SUP
29490,Super Hot Dog 8p 600g SUP
40949,Rosquitas Integrales 200g SUP_40949
41687,Bimdog 8p 320g BIM_41687
29553,Tostadas Francesas 16p 120g GRI
49276,Submarinos Chocomora 2p 54g MLA_49276
29495,Hot Dog 8p 320g SUP
42223,Molde Blanco con Actileche 580g BIM_42223
49276,Submarinos Chocomora 2p 54g MLA_49276
536,Panquecito 50g tira BIM_133
29491,Super Hamburguesa 8p 520g SUP
41687,Bimdog 8p 320g BIM_41687
29554,Tostadas Integrales 16p 100g GRI
29526,Rosquitas Llaneras 200g SUP
500328,Mini Chocoso 20g BIM_500328
29491,Super Hamburguesa 8p 520g SUP
42609,Submarinos Chocolate 4p 33g MLA_42609
29486,Molde Yogurt y Almendras 680g BAU
41685,Molde Actileche sn Corteza 450g BIM_41685
29533,Mini Rosquitas Integrales 50g SUP
29557,Apanadura 250g BIM
29549,Mini Tostadas Integrales 40g GRI
29554,Tostadas Integrales 16p 100g GRI
29558,Apanadura Dorada 150g SUP
42609,Submarinos Chocolate 4p 33g MLA_42609
29490,Super Hot Dog 8p 600g SUP
29537,Pan Dulce 16p 500g Dpy BIM_29537
42223,Molde Blanco con Actileche 580g BIM_42223
29499,Super Hamburguesa 12p 800g REY
29554,Tostadas Integrales 16p 100g GRI
29549,Mini Tostadas Integrales 40g GRI
536,Panquecito 50g tira BIM_133
29554,Tostadas Integrales 16p 100g GRI
29553,Tostadas Francesas 16p 120g GRI
536,Panquecito 50g tira BIM_133
29502,Briollo 8p 240g PNL
29470,Molde sin Corteza 450g GRI
29519,Dulzones Chocolate 12p 360g SUP
33288,Submarinos Mix 540g Cj MLA_33288
500329,Mini Brownie Chocolate 18g BIM_500329
29533,Mini Rosquitas Integrales 50g SUP
29479,Molde Integral 700g SUP
41687,Bimdog 8p 320g BIM_41687
29483,Molde Yogurt y Almendras 500g BAU
29558,Apanadura Dorada 150g SUP
29519,Dulzones Chocolate 12p 360g SUP
29497,Super Hot Dog 8p 600g REY
29479,Molde Integral 700g SUP
29558,Apanadura Dorada 150g SUP
500328,Mini Chocoso 20g BIM_500328
29544,Mini Tostadas Francesas 40g GRI
29551,Tostadas Naturales 16p 100g GRI
41685,Molde Actileche sn Corteza 450g BIM_41685
500329,Mini Brownie Chocolate 18g BIM_500329
29551,Tostadas Naturales 16p 100g GRI
44945,Hot Dog Gourmet 12p 890g EUR_4531
41628,Keke Casero Vainilla 230g BIM_41628
41687,Bimdog 8p 320g BIM_41687
29554,Tostadas Integrales 16p 100g GRI
29551,Tostadas Naturales 16p 100g GRI
29530,Mini Rosquitas Naturales 50g SUP
29557,Apanadura 250g BIM
29479,Molde Integral 700g SUP
29553,Tostadas Francesas 16p 120g GRI
29471,Molde Gigante 800g REY
42513,Molde 100pct Integral 600g BIM_42513
29471,Molde Gigante 800g REY
29530,Mini Rosquitas Naturales 50g SUP
29551,Tostadas Naturales 16p 100g GRI
33288,Submarinos Mix 540g Cj MLA_33288
29558,Apanadura Dorada 150g SUP
29549,Mini Tostadas Integrales 40g GRI
29557,Apanadura 250g BIM
29497,Super Hot Dog 8p 600g REY
49276,Submarinos Chocomora 2p 54g MLA_49276
29551,Tostadas Naturales 16p 100g GRI
29491,Super Hamburguesa 8p 520g SUP
500329,Mini Brownie Chocolate 18g BIM_500329
48920,Tortillinas Clasicas gde 8p 320g BIM_48920
29538,Submarinos Sumergido 2p 54g MLA_29538
29546,Tostadas Francesas 4p 30g GRI
42609,Submarinos Chocolate 4p 33g MLA_42609
29497,Super Hot Dog 8p 600g REY
500329,Mini Brownie Chocolate 18g BIM_500329
29538,Submarinos Sumergido 2p 54g MLA_29538
29526,Rosquitas Llaneras 200g SUP
41685,Molde Actileche sn Corteza 450g BIM_41685
42223,Molde Blanco con Actileche 580g BIM_42223
29557,Apanadura 250g BIM
29499,Super Hamburguesa 12p 800g REY
29481,Molde 9 Cereales 500g BAU
40265,Apanadura Dorada 1Kg SUP_40265
29530,Mini Rosquitas Naturales 50g SUP
536,Panquecito 50g tira BIM_133
33288,Submarinos Mix 540g Cj MLA_33288
29479,Molde Integral 700g SUP
42517,Supan Integral Clasico 500g SUP_42517
29536,Bimboletes Gotas Chocolate 2p 70g BIM_29536
33288,Submarinos Mix 540g Cj MLA_33288
33288,Submarinos Mix 540g Cj MLA_33288
29489,Hamburguesa Jumbo12p 1140g SUP_29489
42517,Supan Integral Clasico 500g SUP_42517
42609,Submarinos Chocolate 4p 33g MLA_42609
29499,Super Hamburguesa 12p 800g REY
29554,Tostadas Integrales 16p 100g GRI
32497,Panditas Acidos 5p 25g EXP CA RIC_3316
29521,Dulzones Chocolate 2p 60g SUP
29473,Molde Blanco 500g SUP
500329,Mini Brownie Chocolate 18g BIM_500329
41687,Bimdog 8p 320g BIM_41687
29527,Rosquitas Trenzadas 200g SUP
49276,Submarinos Chocomora 2p 54g MLA_49276
42223,Molde Blanco con Actileche 580g BIM_42223
29490,Super Hot Dog 8p 600g SUP
33288,Submarinos Mix 540g Cj MLA_33288
29536,Bimboletes Gotas Chocolate 2p 70g BIM_29536
29502,Briollo 8p 240g PNL
41688,Bimburger 4p 230g BIM_41688
29495,Hot Dog 8p 320g SUP
42609,Submarinos Chocolate 4p 33g MLA_42609
41685,Molde Actileche sn Corteza 450g BIM_41685
33288,Submarinos Mix 540g Cj MLA_33288
29534,Bimboletes Vainilla 2p 70g BIM_29534
29533,Mini Rosquitas Integrales 50g SUP
42517,Supan Integral Clasico 500g SUP_42517
29499,Super Hamburguesa 12p 800g REY
500329,Mini Brownie Chocolate 18g BIM_500329
29527,Rosquitas Trenzadas 200g SUP
29495,Hot Dog 8p 320g SUP
41685,Molde Actileche sn Corteza 450g BIM_41685
33288,Submarinos Mix 540g Cj MLA_33288
29471,Molde Gigante 800g REY
29479,Molde Integral 700g SUP
29471,Molde Gigante 800g REY
29541,Mini Tostadas Naturales 120g GRI
500329,Mini Brownie Chocolate 18g BIM_500329
29557,Apanadura 250g BIM
29497,Super Hot Dog 8p 600g REY
536,Panquecito 50g tira BIM_133
29557,Apanadura 250g BIM
29527,Rosquitas Trenzadas 200g SUP
42517,Supan Integral Clasico 500g SUP_42517
29556,Apanadura 500g GRI
29543,Mini Tostadas Francesas 120g GRI
29549,Mini Tostadas Integrales 40g GRI
29502,Briollo 8p 240g PNL
29553,Tostadas Francesas 16p 120g GRI
500328,Mini Chocoso 20g BIM_500328
