product_id|cod_agencia_id|cod_ruta_id|date|units|forecast_creation_date
29558|14471|1214|2019-01-23|25|2019-01-22
29537|14461|1247|2019-01-23|1|2019-01-22
48948|14468|1215|2019-01-23|2|2019-01-22
536|14464|1213|2019-01-23|39|2019-01-22
29558|14463|103|2019-01-23|6|2019-01-22
39724|14462|1506|2019-01-23|27|2019-01-22
29554|14472|1205|2019-01-23|6|2019-01-22
45272|14466|1251|2019-01-23|5|2019-01-22
40949|14477|1209|2019-01-23|3|2019-01-22
29554|14461|1203|2019-01-23|6|2019-01-22
29497|14466|1208|2019-01-23|2|2019-01-22
32497|14477|111|2019-01-23|4|2019-01-22
29497|14466|1246|2019-01-23|6|2019-01-22
536|14473|1209|2019-01-23|28|2019-01-22
29552|14461|1253|2019-01-23|3|2019-01-22
33288|14462|1281|2019-01-23|1|2019-01-22
500328|14461|1208|2019-01-23|15|2019-01-22
29473|14471|1514|2019-01-23|30|2019-01-22
29554|14461|1253|2019-01-23|11|2019-01-22
29549|14473|1205|2019-01-23|2|2019-01-22
29551|14462|1261|2019-01-23|15|2019-01-22
29502|14461|1576|2019-01-23|10|2019-01-22
32497|14464|1218|2019-01-23|11|2019-01-22
29558|14462|1242|2019-01-23|18|2019-01-22
29526|14461|1268|2019-01-23|5|2019-01-22
29502|14464|1212|2019-01-23|9|2019-01-22
500328|14466|1215|2019-01-23|30|2019-01-22
33288|14471|1210|2019-01-23|3|2019-01-22
536|14461|3346|2019-01-23|5|2019-01-22
29544|14472|1220|2019-01-23|10|2019-01-22
29490|14463|121|2019-01-23|1|2019-01-22
29530|14462|1203|2019-01-23|10|2019-01-22
42619|14464|1505|2019-01-23|35|2019-01-22
42517|14465|1201|2019-01-23|16|2019-01-22
29491|14462|1228|2019-01-23|4|2019-01-22
29551|14471|1213|2019-01-23|10|2019-01-22
32497|14477|1202|2019-01-23|9|2019-01-22
29554|14466|1246|2019-01-23|5|2019-01-22
33288|14461|1236|2019-01-23|1|2019-01-22
29557|14462|1263|2019-01-23|10|2019-01-22
29497|14471|1203|2019-01-23|1|2019-01-22
29490|14466|1204|2019-01-23|1|2019-01-22
29530|14461|1513|2019-01-23|60|2019-01-22
29549|14462|1229|2019-01-23|5|2019-01-22
42609|14462|1235|2019-01-23|4|2019-01-22
29534|14464|1223|2019-01-23|5|2019-01-22
29502|14462|1236|2019-01-23|26|2019-01-22
29549|14461|1223|2019-01-23|3|2019-01-22
29546|14463|529|2019-01-23|5|2019-01-22
29549|14461|1263|2019-01-23|2|2019-01-22
42619|14468|1204|2019-01-23|3|2019-01-22
42626|14468|1505|2019-01-23|35|2019-01-22
29554|14464|1211|2019-01-23|2|2019-01-22
536|14464|1212|2019-01-23|9|2019-01-22
29553|14472|1205|2019-01-23|10|2019-01-22
29502|14473|1205|2019-01-23|27|2019-01-22
500328|14461|1218|2019-01-23|6|2019-01-22
41684|14465|1209|2019-01-23|1|2019-01-22
42626|14463|132|2019-01-23|2|2019-01-22
42525|14461|1218|2019-01-23|1|2019-01-22
42513|14461|1593|2019-01-23|8|2019-01-22
500329|14461|1272|2019-01-23|6|2019-01-22
42626|14461|1201|2019-01-23|1|2019-01-22
29502|14461|1246|2019-01-23|27|2019-01-22
29552|14466|1248|2019-01-23|34|2019-01-22
29537|14462|1281|2019-01-23|1|2019-01-22
29537|14461|1263|2019-01-23|1|2019-01-22
29530|14477|504|2019-01-23|5|2019-01-22
29470|14461|1215|2019-01-23|1|2019-01-22
42223|14464|4902|2019-01-23|8|2019-01-22
29553|14463|1501|2019-01-23|34|2019-01-22
29553|14461|1252|2019-01-23|10|2019-01-22
48948|14468|1205|2019-01-23|6|2019-01-22
29537|14472|6101|2019-01-23|1|2019-01-22
29490|14465|1507|2019-01-23|6|2019-01-22
40949|14463|1240|2019-01-23|3|2019-01-22
32497|14465|1205|2019-01-23|1|2019-01-22
42517|14461|1201|2019-01-23|6|2019-01-22
29556|14472|1261|2019-01-23|2|2019-01-22
40949|14465|1208|2019-01-23|1|2019-01-22
500328|14472|1213|2019-01-23|25|2019-01-22
29527|14464|1229|2019-01-23|1|2019-01-22
29494|14461|1211|2019-01-23|6|2019-01-22
29497|14465|1216|2019-01-23|22|2019-01-22
29502|14471|1206|2019-01-23|51|2019-01-22
29491|14468|1205|2019-01-23|2|2019-01-22
42619|14468|1215|2019-01-23|5|2019-01-22
29549|14462|1503|2019-01-23|30|2019-01-22
2546|14461|1527|2019-01-23|12|2019-01-22
536|14463|520|2019-01-23|16|2019-01-22
29537|14463|125|2019-01-23|1|2019-01-22
29559|14464|1216|2019-01-23|1|2019-01-22
29557|14468|1207|2019-01-23|21|2019-01-22
29553|14461|1216|2019-01-23|5|2019-01-22
29557|14466|1241|2019-01-23|12|2019-01-22
500328|14461|1248|2019-01-23|6|2019-01-22
42609|14472|1253|2019-01-23|6|2019-01-22
29557|14463|528|2019-01-23|19|2019-01-22
41685|14465|1206|2019-01-23|8|2019-01-22
40949|14461|1201|2019-01-23|1|2019-01-22
29499|14464|1231|2019-01-23|2|2019-01-22
29536|14468|1215|2019-01-23|9|2019-01-22
29554|14473|1212|2019-01-23|16|2019-01-22
29497|14464|1215|2019-01-23|2|2019-01-22
29541|14463|120|2019-01-23|2|2019-01-22
33288|14468|1202|2019-01-23|4|2019-01-22
29548|14461|4909|2019-01-23|16|2019-01-22
29470|14461|1592|2019-01-23|10|2019-01-22
39723|14463|121|2019-01-23|4|2019-01-22
500328|14471|1211|2019-01-23|8|2019-01-22
42619|14465|1202|2019-01-23|3|2019-01-22
29542|14471|1209|2019-01-23|9|2019-01-22
29557|14471|1210|2019-01-23|9|2019-01-22
29553|14463|527|2019-01-23|12|2019-01-22
29551|14463|129|2019-01-23|11|2019-01-22
29497|14461|1228|2019-01-23|7|2019-01-22
33288|14463|122|2019-01-23|1|2019-01-22
29471|14461|1216|2019-01-23|5|2019-01-22
29527|14477|1210|2019-01-23|5|2019-01-22
29557|14462|1260|2019-01-23|4|2019-01-22
29469|14473|1207|2019-01-23|10|2019-01-22
500329|14466|1241|2019-01-23|6|2019-01-22
29556|14463|1239|2019-01-23|16|2019-01-22
29494|14461|1216|2019-01-23|3|2019-01-22
41688|14462|1240|2019-01-23|1|2019-01-22
33288|14466|1243|2019-01-23|1|2019-01-22
29558|14461|1215|2019-01-23|5|2019-01-22
29554|14472|1216|2019-01-23|8|2019-01-22
29557|14462|1250|2019-01-23|5|2019-01-22
32497|14461|1218|2019-01-23|6|2019-01-22
40949|14464|1213|2019-01-23|4|2019-01-22
29479|14466|1202|2019-01-23|1|2019-01-22
29469|14465|1214|2019-01-23|7|2019-01-22
29542|14466|1242|2019-01-23|3|2019-01-22
41684|14462|1201|2019-01-23|1|2019-01-22
29490|14468|1218|2019-01-23|1|2019-01-22
41684|14462|1501|2019-01-23|8|2019-01-22
29558|14468|1203|2019-01-23|11|2019-01-22
2546|14465|1219|2019-01-23|1|2019-01-22
500329|14461|1270|2019-01-23|14|2019-01-22
33288|14466|1203|2019-01-23|1|2019-01-22
29542|14461|1247|2019-01-23|3|2019-01-22
29471|14461|1214|2019-01-23|23|2019-01-22
29549|14465|1216|2019-01-23|3|2019-01-22
29526|14462|1261|2019-01-23|1|2019-01-22
29530|14464|1225|2019-01-23|4|2019-01-22
29536|14468|1202|2019-01-23|5|2019-01-22
29494|14461|3353|2019-01-23|18|2019-01-22
29490|14462|1206|2019-01-23|1|2019-01-22
40949|14462|1246|2019-01-23|2|2019-01-22
41687|14462|1503|2019-01-23|12|2019-01-22
29553|14477|507|2019-01-23|10|2019-01-22
49276|14468|1221|2019-01-23|9|2019-01-22
29495|14461|4901|2019-01-23|11|2019-01-22
42223|14463|1516|2019-01-23|3|2019-01-22
49276|14468|1217|2019-01-23|10|2019-01-22
536|14463|121|2019-01-23|29|2019-01-22
29491|14461|1583|2019-01-23|6|2019-01-22
41687|14461|4908|2019-01-23|2|2019-01-22
29554|14462|1254|2019-01-23|23|2019-01-22
29526|14477|1212|2019-01-23|1|2019-01-22
500328|14472|1205|2019-01-23|6|2019-01-22
29491|14461|1508|2019-01-23|6|2019-01-22
42609|14471|1201|2019-01-23|1|2019-01-22
29486|14472|1501|2019-01-23|10|2019-01-22
41685|14464|1211|2019-01-23|3|2019-01-22
29533|14461|1246|2019-01-23|13|2019-01-22
29557|14473|1208|2019-01-23|4|2019-01-22
29549|14477|1205|2019-01-23|3|2019-01-22
29554|14468|1207|2019-01-23|10|2019-01-22
29558|14477|1208|2019-01-23|22|2019-01-22
42609|14472|1257|2019-01-23|2|2019-01-22
29490|14463|518|2019-01-23|1|2019-01-22
29537|14466|1215|2019-01-23|3|2019-01-22
42223|14466|1209|2019-01-23|8|2019-01-22
29499|14461|1263|2019-01-23|9|2019-01-22
29554|14461|3346|2019-01-23|10|2019-01-22
