product_id,product_description,cod_agencia_id,cod_ruta_id,date,last_8wk_avg_sales_units,last_8wk_avg_return_units,units,forecast_creation_date
29558,Apanadura Dorada 150g SUP,14471,1214,1/23/2019,0,0,25,1/22/2019
29537,Pan Dulce 16p 500g Dpy BIM_29537,14461,1247,1/23/2019,0,0,1,1/22/2019
48948,Rayita Vainilla Chocolate 50g BIM_48948,14468,1215,1/23/2019,0,0,2,1/22/2019
536,Panquecito 50g tira BIM_133,14464,1213,1/23/2019,0,0,39,1/22/2019
29558,Apanadura Dorada 150g SUP,14463,103,1/23/2019,0,0,6,1/22/2019
39724,Tortillinas Integrales 10p 250g BIM_39724,14462,1506,1/23/2019,0,0,27,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14472,1205,1/23/2019,0,0,6,1/22/2019
45272,Hot Dog Gourmet 12p 890g EUR_4531,14466,1251,1/23/2019,0,0,5,1/22/2019
40949,Rosquitas Integrales 200g SUP_40949,14477,1209,1/23/2019,0,0,3,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14461,1203,1/23/2019,0,0,6,1/22/2019
29497,Super Hot Dog 8p 600g REY,14466,1208,1/23/2019,0,0,2,1/22/2019
32497,Panditas Acidos 5p 25g EXP CA RIC_3316,14477,111,1/23/2019,0,0,4,1/22/2019
29497,Super Hot Dog 8p 600g REY,14466,1246,1/23/2019,0,0,6,1/22/2019
536,Panquecito 50g tira BIM_133,14473,1209,1/23/2019,0,0,28,1/22/2019
29552,Tostadas Dieta 16p 100g GRI,14461,1253,1/23/2019,0,0,3,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14462,1281,1/23/2019,0,0,1,1/22/2019
500328,Mini Chocoso 20g BIM_500328,14461,1208,1/23/2019,0,0,15,1/22/2019
29473,Molde Blanco 500g SUP,14471,1514,1/23/2019,0,0,30,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14461,1253,1/23/2019,0,0,11,1/22/2019
29549,Mini Tostadas Integrales 40g GRI,14473,1205,1/23/2019,0,0,2,1/22/2019
29551,Tostadas Naturales 16p 100g GRI,14462,1261,1/23/2019,0,0,15,1/22/2019
29502,Briollo 8p 240g PNL,14461,1576,1/23/2019,0,0,10,1/22/2019
32497,Panditas Acidos 5p 25g EXP CA RIC_3316,14464,1218,1/23/2019,0,0,11,1/22/2019
29558,Apanadura Dorada 150g SUP,14462,1242,1/23/2019,0,0,18,1/22/2019
29526,Rosquitas Llaneras 200g SUP,14461,1268,1/23/2019,0,0,5,1/22/2019
29502,Briollo 8p 240g PNL,14464,1212,1/23/2019,0,0,9,1/22/2019
500328,Mini Chocoso 20g BIM_500328,14466,1215,1/23/2019,0,0,30,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14471,1210,1/23/2019,0,0,3,1/22/2019
536,Panquecito 50g tira BIM_133,14461,3346,1/23/2019,0,0,5,1/22/2019
29544,Mini Tostadas Francesas 40g GRI,14472,1220,1/23/2019,0,0,10,1/22/2019
29490,Super Hot Dog 8p 600g SUP,14463,121,1/23/2019,0,0,1,1/22/2019
29530,Mini Rosquitas Naturales 50g SUP,14462,1203,1/23/2019,0,0,10,1/22/2019
42619,Submarinos Manjar 4p 33g MLA_42619,14464,1505,1/23/2019,0,0,35,1/22/2019
42517,Supan Integral Clasico 500g SUP_42517,14465,1201,1/23/2019,0,0,16,1/22/2019
29491,Super Hamburguesa 8p 520g SUP,14462,1228,1/23/2019,0,0,4,1/22/2019
29551,Tostadas Naturales 16p 100g GRI,14471,1213,1/23/2019,0,0,10,1/22/2019
32497,Panditas Acidos 5p 25g EXP CA RIC_3316,14477,1202,1/23/2019,0,0,9,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14466,1246,1/23/2019,0,0,5,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14461,1236,1/23/2019,0,0,1,1/22/2019
29557,Apanadura 250g BIM,14462,1263,1/23/2019,0,0,10,1/22/2019
29497,Super Hot Dog 8p 600g REY,14471,1203,1/23/2019,0,0,1,1/22/2019
29490,Super Hot Dog 8p 600g SUP,14466,1204,1/23/2019,0,0,1,1/22/2019
29530,Mini Rosquitas Naturales 50g SUP,14461,1513,1/23/2019,0,0,60,1/22/2019
29549,Mini Tostadas Integrales 40g GRI,14462,1229,1/23/2019,0,0,5,1/22/2019
42609,Submarinos Chocolate 4p 33g MLA_42609,14462,1235,1/23/2019,0,0,4,1/22/2019
29534,Bimboletes Vainilla 2p 70g BIM_29534,14464,1223,1/23/2019,0,0,5,1/22/2019
29502,Briollo 8p 240g PNL,14462,1236,1/23/2019,0,0,26,1/22/2019
29549,Mini Tostadas Integrales 40g GRI,14461,1223,1/23/2019,0,0,3,1/22/2019
29546,Tostadas Francesas 4p 30g GRI,14463,529,1/23/2019,0,0,5,1/22/2019
29549,Mini Tostadas Integrales 40g GRI,14461,1263,1/23/2019,0,0,2,1/22/2019
42619,Submarinos Manjar 4p 33g MLA_42619,14468,1204,1/23/2019,0,0,3,1/22/2019
42626,Submarinos Vainilla 4p 33g MLA_42626,14468,1505,1/23/2019,0,0,35,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14464,1211,1/23/2019,0,0,2,1/22/2019
536,Panquecito 50g tira BIM_133,14464,1212,1/23/2019,0,0,9,1/22/2019
29553,Tostadas Francesas 16p 120g GRI,14472,1205,1/23/2019,0,0,10,1/22/2019
29502,Briollo 8p 240g PNL,14473,1205,1/23/2019,0,0,27,1/22/2019
500328,Mini Chocoso 20g BIM_500328,14461,1218,1/23/2019,0,0,6,1/22/2019
41684,Molde Sanduchero 800g SUP_41684,14465,1209,1/23/2019,0,0,1,1/22/2019
42626,Submarinos Vainilla 4p 33g MLA_42626,14463,132,1/23/2019,0,0,2,1/22/2019
42525,Mega Bimburguer 4p 300g BIM_42525,14461,1218,1/23/2019,0,0,1,1/22/2019
42513,Molde 100pct Integral 600g BIM_42513,14461,1593,1/23/2019,0,0,8,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14461,1272,1/23/2019,0,0,6,1/22/2019
42626,Submarinos Vainilla 4p 33g MLA_42626,14461,1201,1/23/2019,0,0,1,1/22/2019
29502,Briollo 8p 240g PNL,14461,1246,1/23/2019,0,0,27,1/22/2019
29552,Tostadas Dieta 16p 100g GRI,14466,1248,1/23/2019,0,0,34,1/22/2019
29537,Pan Dulce 16p 500g Dpy BIM_29537,14462,1281,1/23/2019,0,0,1,1/22/2019
29537,Pan Dulce 16p 500g Dpy BIM_29537,14461,1263,1/23/2019,0,0,1,1/22/2019
29530,Mini Rosquitas Naturales 50g SUP,14477,504,1/23/2019,0,0,5,1/22/2019
29470,Molde sin Corteza 450g GRI,14461,1215,1/23/2019,0,0,1,1/22/2019
42223,Molde Blanco con Actileche 580g BIM_42223,14464,4902,1/23/2019,0,0,8,1/22/2019
29553,Tostadas Francesas 16p 120g GRI,14463,1501,1/23/2019,0,0,34,1/22/2019
29553,Tostadas Francesas 16p 120g GRI,14461,1252,1/23/2019,0,0,10,1/22/2019
48948,Rayita Vainilla Chocolate 50g BIM_48948,14468,1205,1/23/2019,0,0,6,1/22/2019
29537,Pan Dulce 16p 500g Dpy BIM_29537,14472,6101,1/23/2019,0,0,1,1/22/2019
29490,Super Hot Dog 8p 600g SUP,14465,1507,1/23/2019,0,0,6,1/22/2019
40949,Rosquitas Integrales 200g SUP_40949,14463,1240,1/23/2019,0,0,3,1/22/2019
32497,Panditas Acidos 5p 25g EXP CA RIC_3316,14465,1205,1/23/2019,0,0,1,1/22/2019
42517,Supan Integral Clasico 500g SUP_42517,14461,1201,1/23/2019,0,0,6,1/22/2019
29556,Apanadura 500g GRI,14472,1261,1/23/2019,0,0,2,1/22/2019
40949,Rosquitas Integrales 200g SUP_40949,14465,1208,1/23/2019,0,0,1,1/22/2019
500328,Mini Chocoso 20g BIM_500328,14472,1213,1/23/2019,0,0,25,1/22/2019
29527,Rosquitas Trenzadas 200g SUP,14464,1229,1/23/2019,0,0,1,1/22/2019
29494,Hamburguesa 8p 400g SUP,14461,1211,1/23/2019,0,0,6,1/22/2019
29497,Super Hot Dog 8p 600g REY,14465,1216,1/23/2019,0,0,22,1/22/2019
29502,Briollo 8p 240g PNL,14471,1206,1/23/2019,0,0,51,1/22/2019
29491,Super Hamburguesa 8p 520g SUP,14468,1205,1/23/2019,0,0,2,1/22/2019
42619,Submarinos Manjar 4p 33g MLA_42619,14468,1215,1/23/2019,0,0,5,1/22/2019
29549,Mini Tostadas Integrales 40g GRI,14462,1503,1/23/2019,0,0,30,1/22/2019
2546,Pan Tostadito Natural 20p 115g BIM_1982,14461,1527,1/23/2019,0,0,12,1/22/2019
536,Panquecito 50g tira BIM_133,14463,520,1/23/2019,0,0,16,1/22/2019
29537,Pan Dulce 16p 500g Dpy BIM_29537,14463,125,1/23/2019,0,0,1,1/22/2019
29559,Apanadura Granel 23Kg SUP,14464,1216,1/23/2019,0,0,1,1/22/2019
29557,Apanadura 250g BIM,14468,1207,1/23/2019,0,0,21,1/22/2019
29553,Tostadas Francesas 16p 120g GRI,14461,1216,1/23/2019,0,0,5,1/22/2019
29557,Apanadura 250g BIM,14466,1241,1/23/2019,0,0,12,1/22/2019
500328,Mini Chocoso 20g BIM_500328,14461,1248,1/23/2019,0,0,6,1/22/2019
42609,Submarinos Chocolate 4p 33g MLA_42609,14472,1253,1/23/2019,0,0,6,1/22/2019
29557,Apanadura 250g BIM,14463,528,1/23/2019,0,0,19,1/22/2019
41685,Molde Actileche sn Corteza 450g BIM_41685,14465,1206,1/23/2019,0,0,8,1/22/2019
40949,Rosquitas Integrales 200g SUP_40949,14461,1201,1/23/2019,0,0,1,1/22/2019
29499,Super Hamburguesa 12p 800g REY,14464,1231,1/23/2019,0,0,2,1/22/2019
29536,Bimboletes Gotas Chocolate 2p 70g BIM_29536,14468,1215,1/23/2019,0,0,9,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14473,1212,1/23/2019,0,0,16,1/22/2019
29497,Super Hot Dog 8p 600g REY,14464,1215,1/23/2019,0,0,2,1/22/2019
29541,Mini Tostadas Naturales 120g GRI,14463,120,1/23/2019,0,0,2,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14468,1202,1/23/2019,0,0,4,1/22/2019
29548,Mini Tostadas Integrales 120g GRI,14461,4909,1/23/2019,0,0,16,1/22/2019
29470,Molde sin Corteza 450g GRI,14461,1592,1/23/2019,0,0,10,1/22/2019
39723,Tortillinas Clasicas 10p 250g BIM_39723,14463,121,1/23/2019,0,0,4,1/22/2019
500328,Mini Chocoso 20g BIM_500328,14471,1211,1/23/2019,0,0,8,1/22/2019
42619,Submarinos Manjar 4p 33g MLA_42619,14465,1202,1/23/2019,0,0,3,1/22/2019
29542,Mini Tostadas Naturales 40g GRI,14471,1209,1/23/2019,0,0,9,1/22/2019
29557,Apanadura 250g BIM,14471,1210,1/23/2019,0,0,9,1/22/2019
29553,Tostadas Francesas 16p 120g GRI,14463,527,1/23/2019,0,0,12,1/22/2019
29551,Tostadas Naturales 16p 100g GRI,14463,129,1/23/2019,0,0,11,1/22/2019
29497,Super Hot Dog 8p 600g REY,14461,1228,1/23/2019,0,0,7,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14463,122,1/23/2019,0,0,1,1/22/2019
29471,Molde Gigante 800g REY,14461,1216,1/23/2019,0,0,5,1/22/2019
29527,Rosquitas Trenzadas 200g SUP,14477,1210,1/23/2019,0,0,5,1/22/2019
29557,Apanadura 250g BIM,14462,1260,1/23/2019,0,0,4,1/22/2019
29469,Molde Brioche 580g GRI,14473,1207,1/23/2019,0,0,10,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14466,1241,1/23/2019,0,0,6,1/22/2019
29556,Apanadura 500g GRI,14463,1239,1/23/2019,0,0,16,1/22/2019
29494,Hamburguesa 8p 400g SUP,14461,1216,1/23/2019,0,0,3,1/22/2019
41688,Bimburger 4p 230g BIM_41688,14462,1240,1/23/2019,0,0,1,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14466,1243,1/23/2019,0,0,1,1/22/2019
29558,Apanadura Dorada 150g SUP,14461,1215,1/23/2019,0,0,5,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14472,1216,1/23/2019,0,0,8,1/22/2019
29557,Apanadura 250g BIM,14462,1250,1/23/2019,0,0,5,1/22/2019
32497,Panditas Acidos 5p 25g EXP CA RIC_3316,14461,1218,1/23/2019,0,0,6,1/22/2019
40949,Rosquitas Integrales 200g SUP_40949,14464,1213,1/23/2019,0,0,4,1/22/2019
29479,Molde Integral 700g SUP,14466,1202,1/23/2019,0,0,1,1/22/2019
29469,Molde Brioche 580g GRI,14465,1214,1/23/2019,0,0,7,1/22/2019
